"sci_name","common_name","phylo_sci_name","family_latin","family_english","order"
"Acanthis flammea","Common Redpoll","Carduelis flammea","Fringillidae","Finches and Hawaiian honeycreepers","PASSERIFORMES"
"Agelaius phoeniceus","Red-winged Blackbird","Agelaius phoeniceus","Icteridae","New World blackbirds","PASSERIFORMES"
"Ammodramus savannarum","Grasshopper Sparrow","Ammodramus savannarum","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Baeolophus bicolor","Tufted Titmouse","Baeolophus bicolor","Paridae","Tits and chickadees","PASSERIFORMES"
"Bombycilla cedrorum","Cedar Waxwing","Bombycilla cedrorum","Bombycillidae","Waxwings","PASSERIFORMES"
"Cardellina canadensis","Canada Warbler","Wilsonia canadensis","Parulidae","New World warblers","PASSERIFORMES"
"Cardellina pusilla","Wilson's Warbler","Wilsonia pusilla","Parulidae","New World warblers","PASSERIFORMES"
"Cardinalis cardinalis","Northern Cardinal","Cardinalis cardinalis","Cardinalidae","Grosbeaks, saltators and allies","PASSERIFORMES"
"Catharus fuscescens","Veery","Catharus fuscescens","Turdidae","Thrushes","PASSERIFORMES"
"Catharus guttatus","Hermit Thrush","Catharus guttatus","Turdidae","Thrushes","PASSERIFORMES"
"Catharus ustulatus","Swainson's Thrush","Catharus ustulatus","Turdidae","Thrushes","PASSERIFORMES"
"Colaptes auratus","Northern Flicker","Colaptes auratus","Picidae","Woodpeckers","PICIFORMES"
"Dolichonyx oryzivorus","Bobolink","Dolichonyx oryzivorus","Icteridae","New World blackbirds","PASSERIFORMES"
"Dryobates nuttallii","Nuttall's Woodpecker","Picoides nuttallii","Picidae","Woodpeckers","PICIFORMES"
"Dryobates pubescens","Downy Woodpecker","Picoides pubescens","Picidae","Woodpeckers","PICIFORMES"
"Dryobates villosus","Hairy Woodpecker","Picoides villosus","Picidae","Woodpeckers","PICIFORMES"
"Dumetella carolinensis","Grey Catbird","Dumetella carolinensis","Mimidae","Mockingbirds and thrashers","PASSERIFORMES"
"Empidonax minimus","Least Flycatcher","Empidonax minimus","Tyrannidae","Tyrant-flycatchers","PASSERIFORMES"
"Empidonax traillii","Willow Flycatcher","Empidonax traillii","Tyrannidae","Tyrant-flycatchers","PASSERIFORMES"
"Empidonax virescens","Acadian Flycatcher","Empidonax virescens","Tyrannidae","Tyrant-flycatchers","PASSERIFORMES"
"Geothlypis formosa","Kentucky Warbler","Oporornis formosus","Parulidae","New World warblers","PASSERIFORMES"
"Geothlypis philadelphia","Mourning Warbler","Oporornis philadelphia","Parulidae","New World warblers","PASSERIFORMES"
"Geothlypis tolmiei","MacGillivray's Warbler","Oporornis tolmiei","Parulidae","New World warblers","PASSERIFORMES"
"Geothlypis trichas","Common Yellowthroat","Geothlypis trichas","Parulidae","New World warblers","PASSERIFORMES"
"Haemorhous mexicanus","House Finch","Carpodacus mexicanus","Fringillidae","Finches and Hawaiian honeycreepers","PASSERIFORMES"
"Haemorhous purpureus","Purple Finch","Carpodacus purpureus","Fringillidae","Finches and Hawaiian honeycreepers","PASSERIFORMES"
"Helmitheros vermivorum","Worm-eating Warbler","Helmitheros vermivorum","Parulidae","New World warblers","PASSERIFORMES"
"Hylocichla mustelina","Wood Thrush","Hylocichla mustelina","Turdidae","Thrushes","PASSERIFORMES"
"Icteria virens","Yellow-breasted Chat","Icteria virens","Parulidae","New World warblers","PASSERIFORMES"
"Icterus bullockii","Bullock's Oriole","Icterus bullockii","Icteridae","New World blackbirds","PASSERIFORMES"
"Icterus galbula","Baltimore Oriole","Icterus galbula","Icteridae","New World blackbirds","PASSERIFORMES"
"Junco hyemalis","Dark-eyed Junco","Junco hyemalis","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Junco hyemalis","Dark-eyed Junco","Junco hyemalis","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Junco hyemalis","Dark-eyed Junco","Junco hyemalis","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Limnothlypis swainsonii","Swainson's Warbler","Limnothlypis swainsonii","Parulidae","New World warblers","PASSERIFORMES"
"Melospiza georgiana","Swamp Sparrow","Melospiza georgiana","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Melospiza lincolnii","Lincoln's Sparrow","Melospiza lincolnii","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Melospiza melodia","Song Sparrow","Melospiza melodia","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Melozone crissalis","California Towhee","Pipilo crissalis","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Mniotilta varia","Black-and-white Warbler","Mniotilta varia","Parulidae","New World warblers","PASSERIFORMES"
"Molothrus ater","Brown-headed Cowbird","Molothrus ater","Icteridae","New World blackbirds","PASSERIFORMES"
"Oreothlypis celata","Orange-crowned Warbler","Vermivora celata","Parulidae","New World warblers","PASSERIFORMES"
"Oreothlypis luciae","Lucy's Warbler","Vermivora luciae","Parulidae","New World warblers","PASSERIFORMES"
"Oreothlypis peregrina","Tennessee Warbler","Vermivora peregrina","Parulidae","New World warblers","PASSERIFORMES"
"Oreothlypis ruficapilla","Nashville Warbler","Vermivora ruficapilla","Parulidae","New World warblers","PASSERIFORMES"
"Oreothlypis virginiae","Virginia's Warbler","Vermivora virginiae","Parulidae","New World warblers","PASSERIFORMES"
"Parkesia motacilla","Louisiana Waterthrush","Seiurus motacilla","Parulidae","New World warblers","PASSERIFORMES"
"Parkesia noveboracensis","Northern Waterthrush","Seiurus noveboracensis","Parulidae","New World warblers","PASSERIFORMES"
"Passerculus sandwichensis","Savannah Sparrow","Passerculus sandwichensis","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Passerella iliaca","Fox Sparrow","Passerella iliaca","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Passerina amoena","Lazuli Bunting","Passerina amoena","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Passerina caerulea","Blue Grosbeak","Passerina caerulea","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Passerina ciris","Painted Bunting","Passerina ciris","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Passerina cyanea","Indigo Bunting","Passerina cyanea","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Pheucticus ludovicianus","Rose-breasted Grosbeak","Pheucticus ludovicianus","Cardinalidae","Grosbeaks, saltators and allies","PASSERIFORMES"
"Pheucticus melanocephalus","Black-headed Grosbeak","Pheucticus melanocephalus","Cardinalidae","Grosbeaks, saltators and allies","PASSERIFORMES"
"Pipilo erythrophthalmus","Eastern Towhee","Pipilo erythrophthalmus","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
"Pipilo maculatus","Spotted Towhee","Pipilo maculatus","Emberizidae","Buntings, American sparrows and allies","PASSERIFORMES"
